insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
lessard laurier j jr,1,0.061398071409738124,0.061398071409738124,100,0.12401209201002998,0.12401209201002998,100,0.5525835702735613,0.5525835702735613,100
czarnecki christopher j,1,0.061398071409738124,0.061398071409738124,100,0.12401209201002998,0.12401209201002998,100,0.5525835702735613,0.5525835702735613,100
tanabe barbara j,2,0.2778483396975505,0.13892416984877526,50,0.5649823206091249,0.28249116030456245,50,0.9282033433859072,0.4641016716929536,50
erickson john c,7,0.45625303559977337,0.0651790050856819,71,0.8373050264649621,0.11961500378070887,71,2.594816752211565,0.370688107458795,71
nichols victor k,1,0.10531065664886015,0.10531065664886015,100,0.6305996323668239,0.6305996323668239,100,0.5345013730429349,0.5345013730429349,100
shigemura dean y,1,0.0021055884538412582,0.0021055884538412582,100,0.0,0.0,100,0.0,0.0,100
quinn william p,2,-0.656599673538238,-0.328299836769119,0,-1.2152629700558923,-0.6076314850279462,0,-0.905899707562395,-0.4529498537811975,0
perez edith a,1,-0.27801724115783055,-0.27801724115783055,0,-0.5366378971480719,-0.5366378971480719,0,0.0,0.0,0
engleman edgar g,3,-0.173525794747974,-0.057841931582658,66,-0.35622342305087507,-0.11874114101695836,66,-1.339975186580259,-0.44665839552675296,66
laporte kathleen d,1,-0.355752236886613,-0.355752236886613,0,-0.6368731603088756,-0.6368731603088756,0,-0.905899707562395,-0.905899707562395,0
schatzman randall c,1,-0.355752236886613,-0.355752236886613,0,-0.6368731603088756,-0.6368731603088756,0,-0.905899707562395,-0.905899707562395,0
healy james i,7,0.3533468875971053,0.05047812679958647,57,0.7460430870026846,0.10657758385752637,57,0.832172049091995,0.11888172129885644,57
khanna ashish siri ram phd,1,-0.355752236886613,-0.355752236886613,0,-0.6368731603088756,-0.6368731603088756,0,-0.905899707562395,-0.905899707562395,0
quinn william p.,2,-0.5788646778094556,-0.2894323389047278,0,-1.1150277068950887,-0.5575138534475443,0,0.0,0.0,0
perez edith a.,1,-0.27801724115783055,-0.27801724115783055,0,-0.5366378971480719,-0.5366378971480719,0,0.0,0.0,0
longe kevin t,1,0.09220488305022163,0.09220488305022163,100,0.48240524045930655,0.48240524045930655,100,1.9888639729977216,1.9888639729977216,100
